name,thumbnail
Rogue (Ultimate),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/3/a0/531771d5927db', 'extension': 'jpg'}"
Rogue (X-Men: Battle of the Atom),"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/3/10/52d72b4157a62', 'extension': 'jpg'}"
Roland Deschain,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Romulus,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/6/70/4ce5a75b67009', 'extension': 'jpg'}"
Ronan,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/2/f0/5260363fc40f2', 'extension': 'jpg'}"
Ronin,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Roughhouse,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Roulette,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Roxanne Simpson,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Rumiko Fujikawa,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available', 'extension': 'jpg'}"
Runaways,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/f/60/535fec953eaab', 'extension': 'jpg'}"
Russian,"{'path': 'http://i.annihil.us/u/prod/marvel/i/mg/8/10/4c003c4af200f', 'extension': 'jpg'}"
